,Date,variable,value
0,10/2019,Fenetre [EUR],164.8
1,11/2019,Fenetre [EUR],329.6
2,12/2019,Fenetre [EUR],329.6
3,01/2020,Fenetre [EUR],329.6
4,03/2020,Fenetre [EUR],329.6
5,04/2020,Fenetre [EUR],343.7
6,06/2020,Fenetre [EUR],331.01
7,07/2020,Fenetre [EUR],329.6
8,10/2020,Fenetre [EUR],340.65
9,11/2020,Fenetre [EUR],340.65
10,01/2021,Fenetre [EUR],340.65
11,02/2021,Fenetre [EUR],326.55
12,03/2021,Fenetre [EUR],326.55
13,04/2021,Fenetre [EUR],326.55
14,05/2021,Fenetre [EUR],326.55
15,06/2021,Fenetre [EUR],96.0441176470588
16,07/2021,Fenetre [EUR],326.55
17,12/2021,Fenetre [EUR],344.76
18,02/2022,Fenetre [EUR],344.76
19,03/2022,Fenetre [EUR],344.76
20,04/2022,Fenetre [EUR],344.76
21,02/2020,Fenetre [EUR],329.6
22,05/2020,Fenetre [EUR],343.7
23,08/2020,Fenetre [EUR],329.6
24,09/2020,Fenetre [EUR],329.6
25,12/2020,Fenetre [EUR],340.65
26,08/2021,Fenetre [EUR],326.55
27,09/2021,Fenetre [EUR],326.55
28,10/2021,Fenetre [EUR],326.55
29,11/2021,Fenetre [EUR],326.55
30,01/2022,Fenetre [EUR],344.76
31,10/2019,Panel [EUR],64.1981707317073
32,11/2019,Panel [EUR],64.1981707317073
33,12/2019,Panel [EUR],64.1981707317073
34,01/2020,Panel [EUR],64.1981707317073
35,03/2020,Panel [EUR],64.1981707317073
36,04/2020,Panel [EUR],64.1981707317073
37,06/2020,Panel [EUR],64.1981707317073
38,07/2020,Panel [EUR],64.1981707317073
39,10/2020,Panel [EUR],64.1981707317073
40,11/2020,Panel [EUR],64.1981707317073
41,01/2021,Panel [EUR],64.1981707317073
42,02/2021,Panel [EUR],64.1981707317073
43,03/2021,Panel [EUR],64.1981707317073
44,04/2021,Panel [EUR],64.1981707317073
45,05/2021,Panel [EUR],64.1981707317073
46,06/2021,Panel [EUR],64.1981707317073
47,07/2021,Panel [EUR],64.1981707317073
48,12/2021,Panel [EUR],64.1981707317073
49,02/2022,Panel [EUR],79.6040625
50,03/2022,Panel [EUR],86.1702623550946
51,04/2022,Panel [EUR],92.2506805807623
52,02/2020,Panel [EUR],92.2506805807623
53,05/2020,Panel [EUR],92.2506805807623
54,08/2020,Panel [EUR],92.2506805807623
55,09/2020,Panel [EUR],92.2506805807623
56,12/2020,Panel [EUR],92.2506805807623
57,08/2021,Panel [EUR],92.2506805807623
58,09/2021,Panel [EUR],92.2506805807623
59,10/2021,Panel [EUR],92.2506805807623
60,11/2021,Panel [EUR],92.2506805807623
61,01/2022,Panel [EUR],79.9415108451758
62,10/2019,Ossature toit [EUR],566.25
63,11/2019,Ossature toit [EUR],566.25
64,12/2019,Ossature toit [EUR],566.25
65,01/2020,Ossature toit [EUR],566.25
66,03/2020,Ossature toit [EUR],566.25
67,04/2020,Ossature toit [EUR],566.25
68,06/2020,Ossature toit [EUR],566.25
69,07/2020,Ossature toit [EUR],566.25
70,10/2020,Ossature toit [EUR],566.25
71,11/2020,Ossature toit [EUR],566.25
72,01/2021,Ossature toit [EUR],566.25
73,02/2021,Ossature toit [EUR],550.0
74,03/2021,Ossature toit [EUR],281.711462450593
75,04/2021,Ossature toit [EUR],550.0
76,05/2021,Ossature toit [EUR],506.466367713005
77,06/2021,Ossature toit [EUR],551.565217391304
78,07/2021,Ossature toit [EUR],550.0
79,12/2021,Ossature toit [EUR],620.0
80,02/2022,Ossature toit [EUR],861.675
81,03/2022,Ossature toit [EUR],827.970847457627
82,04/2022,Ossature toit [EUR],860.909090909091
83,02/2020,Ossature toit [EUR],860.909090909091
84,05/2020,Ossature toit [EUR],860.909090909091
85,08/2020,Ossature toit [EUR],860.909090909091
86,09/2020,Ossature toit [EUR],860.909090909091
87,12/2020,Ossature toit [EUR],860.909090909091
88,08/2021,Ossature toit [EUR],550.0
89,09/2021,Ossature toit [EUR],310.0
90,10/2021,Ossature toit [EUR],310.0
91,11/2021,Ossature toit [EUR],620.0
92,01/2022,Ossature toit [EUR],620.0
93,10/2019,Garde corps [EUR],134.78
94,11/2019,Garde corps [EUR],134.78
95,12/2019,Garde corps [EUR],134.78
96,01/2020,Garde corps [EUR],134.78
97,03/2020,Garde corps [EUR],134.78
98,04/2020,Garde corps [EUR],134.78
99,06/2020,Garde corps [EUR],134.78
100,07/2020,Garde corps [EUR],134.78
101,10/2020,Garde corps [EUR],55.2737142857143
102,11/2020,Garde corps [EUR],55.2737142857143
103,01/2021,Garde corps [EUR],55.2737142857143
104,02/2021,Garde corps [EUR],42.8715789473684
105,03/2021,Garde corps [EUR],230.64
106,04/2021,Garde corps [EUR],230.64
107,05/2021,Garde corps [EUR],230.64
108,06/2021,Garde corps [EUR],230.64
109,07/2021,Garde corps [EUR],144.02313253012
110,12/2021,Garde corps [EUR],230.64
111,02/2022,Garde corps [EUR],230.64
112,03/2022,Garde corps [EUR],230.64
113,04/2022,Garde corps [EUR],230.64
114,02/2020,Garde corps [EUR],230.64
115,05/2020,Garde corps [EUR],134.78
116,08/2020,Garde corps [EUR],134.78
117,09/2020,Garde corps [EUR],55.2737142857143
118,12/2020,Garde corps [EUR],55.2737142857143
119,08/2021,Garde corps [EUR],144.02313253012
120,09/2021,Garde corps [EUR],144.02313253012
121,10/2021,Garde corps [EUR],230.64
122,11/2021,Garde corps [EUR],230.64
123,01/2022,Garde corps [EUR],230.64
